,hashtags,likes,replies,retweets,screen_name,text,timestamp,username
221,['TFRLiveSundays'],0,0,0,CrazyDeeDVD,"THE 56TH EPISODE OF THE FILM REVIEW IS A TRIPLE HEADER
There is a Triple Header and then sum, on the next The Film Review Ep.56 - #TFRLiveSundays Show - @beyonce brought us @homecomingnetflix, @troubleman31 brought... https://www.facebook.com/Situationsdvd/posts/1534278003373892 …",4/20/2019 9:57,"Crazy Dee, Film Dude"
222,['TFRLiveSundays'],0,0,0,CrazyDeeDVD,"THE 56TH EPISODE OF THE FILM REVIEW IS A TRIPLE HEADER
There is a Triple Header and then sum, on the next The Film Review Ep.56 - #TFRLiveSundays Show - @beyonce brought us @homecomingnetflix, @troubleman31... https://www.facebook.com/CrazyDeeEditor/posts/2275200502537858 …",4/20/2019 9:57,"Crazy Dee, Film Dude"
223,"['QueenBey', 'Netflix', 'Beyonce', 'BeyonceHomecoming', 'Homecoming', 'homecomingbeyonce', 'homecomingnetflix', 'HOMECOMINGTHELIVEALBUM', 'QueenBee']",5,0,5,PeepingMoon,"#QueenBey fans brace yourself! #Netflix has signed a three-part deal with #Beyonce worth $60 million 

#BeyonceHomecoming #Homecoming #homecomingbeyonce #homecomingnetflix #HOMECOMINGTHELIVEALBUM #QueenBee @NetflixIndia @netflix @Beyonce @Bey_Legionhttps://peepingmoon.com/news/news/28530/OMG-Netflix-signs-a-deal-with-Beyonce-worth--million-.html …",4/20/2019 9:56,PeepingMoon
224,['TFRLiveSundays'],0,0,0,CrazyDeeDVD,"There is a Triple Header and then sum, on the next The Film Review Ep.56 - #TFRLiveSundays Show - beyonce brought us homecomingnetflix, troubleman31 brought us The Trap Movie, and a deep… https://www.instagram.com/p/BweRNFPBxD8/?utm_source=ig_twitter_share&igshid=j1xp6rpxmf0b …",4/20/2019 9:50,"Crazy Dee, Film Dude"
225,['homecomingnetflix'],2,0,0,USammyNgema,"An Anthem: “If u liked it then u should’ve put a ring on it, don’t be mad when u see that he want it”  #homecomingnetflix",4/20/2019 9:49,samukelisiwe
226,['homecomingnetflix'],0,0,0,RAINBOWBLAK,I watched #homecomingnetflix last night it was a really interesting insight into the artist @Beyonce her creative thought processes is next level because we are taught we have to come  or not at all. Her mental strength is motivational. Love her it takes a village mentality https://twitter.com/DawnRichard/status/1119259393722408960 …,4/20/2019 9:21,RAINBOW BLAK
227,['homecomingnetflix'],0,0,0,MirenaWool,Can I just say thank you to @Beyonce for giving a lens into such a profound moment in #homecomingnetflix Not only is that representation important—which Bey pretty well covered—but educating viewers like myself to be able to recognize the cultural significance is truly a gift.,4/20/2019 7:44,Mirena Wool
228,['homecomingnetflix'],0,0,0,ipsy_bee562,Say my name say my name oooooo bitch i got chills when they started singing  #homecomingnetflix,4/20/2019 7:43,Bianca Tapia
229,"['homecomingbeyonce', 'homecomingnetflix', 'HOMECOMINGTHELIVEALBUMhttps']",0,0,0,Iamdrani,#homecomingbeyonce #homecomingnetflix #HOMECOMINGTHELIVEALBUMhttps://twitter.com/Iamdrani/status/1118789427013095424 …,4/20/2019 7:37,Miss Shreya
230,"['homecomingbeyonce', 'homecomingnetflix']",0,0,0,thebraden,@Beyonce is fucking unreal. We aren’t worthy. I’ll have what she’s having. #homecomingbeyonce #homecomingnetflix,4/20/2019 7:34,Braden Davis
231,"['homecomingbeyonce', 'homecomingnetflix']",0,0,0,boineelo08,#homecomingbeyonce #homecomingnetflix like ,4/20/2019 7:25,Boineelomove
232,"['homecomingbeyonce', 'homecomingnetflix', 'homecoming']",0,0,0,blaqmartini,Watching #homecomingbeyonce tells me I’m not working hard enough I’m read to work hard af.. #homecomingnetflix #homecoming,4/20/2019 7:09,SunkissedMelanin
233,['homecomingnetflix'],1,0,0,whattagreatidea,"#homecomingnetflix  

Riveting",4/20/2019 6:01,Alyssa
234,['homecomingnetflix'],1,0,0,heymckky,i worship at beyoncé’s altar #homecomingnetflix,4/20/2019 4:50,Real Kenny G ⚡️
235,"['homecomingnetflix', 'Beychella']",0,0,0,davinjuniper,"@Beyonce what’s it like being god? 
#homecomingnetflix #Beychella",4/20/2019 4:11,dav
236,['homecomingnetflix'],0,0,0,_la_del_barrio,Finally saw #homecomingnetflix. I didn’t know how much I needed that.,4/20/2019 3:52,María 🇳🇮
237,"['homecomingnetflix', 'Coachella']",1,0,1,RealArtToscano,After watching  @Beyonce #homecomingnetflix on @netflix I felt like I was at #Coachella,4/20/2019 3:20,Arthur.grammy
238,['homecomingnetflix'],1,0,0,aeparkss,"Beyonce really has the power to make me start a no sugar, no carb, no meat, no dairy diet #homecomingnetflix",4/20/2019 2:55,Allison
239,"['homecomingnetflix', 'homecoming', 'homecomingbeyonce']",1,0,0,Iam_Rellz,I believe @solangeknowles and @beyonce have real fun working together #homecomingnetflix #homecoming #homecomingbeyonce,4/20/2019 2:15,Rell
240,['homecomingnetflix'],0,0,0,Slimm_els,OMG Destiny child  !!!’#homecomingnetflix,4/20/2019 2:09,•
241,['homecomingnetflix'],2,0,0,Lersmonteiro,Tô vendo #homecomingnetflix e so consigo lembrar da Letícia de 2013 que realizou seu sonho de ver que essa mulher é real no rock in Rio.,4/20/2019 1:00,"Lê, Let, Letícia"
242,['homecomingnetflix'],0,0,0,JordanneBell,Beyoncé is inspiring me to get my fat ass up and get back to the gym LOL #homecomingnetflix,4/20/2019 0:59,Jordanne Bell
243,['homecomingnetflix'],0,0,0,vanessaflornews,Beyonce is untouchable #homecomingnetflix,4/20/2019 0:32,Vanessa Flores
244,"['THEentertainer', 'homecomingnetflix']",1,1,0,meyerems,"We are so lucky to be living in the Time of Beyoncé.

Damnnnnnn. #THEentertainer #homecomingnetflix",4/20/2019 0:24,Em
245,"['michaeljackson', 'Homecoming', 'homecomingbeyonce', 'homecomingnetflix']",0,0,0,SexyDrine88,@Beyonce is really the female #michaeljackson shes legendary #Homecoming #homecomingbeyonce #homecomingnetflix,4/20/2019 0:06,BaddieDrine
